id,Names,Surnames,Age,Email,Worktimes,Schedules,Studies level,Pets,Cooking,Sport,Smoking,Organized
48,Derek,Williams,33,DerekWilliams@gmail.com,morning,morning,university,Yes,No,No,No,No
49,George,Taylor,22,GeorgeTaylor@gmail.com,night,night,university,Yes,Yes,Yes,No,Yes
50,Marie,Wright,28,MarieWright@gmail.com,night,morning,university,Yes,Yes,No,Yes,No
51,LouisaLoren,Davies ,29,LouisaLorenDavies @gmail.com,night,night,secondary,Yes,Yes,Yes,Yes,No
52,George,Williams,25,GeorgeWilliams@gmail.com,night,morning,university,No,No,No,Yes,Yes
53,Josephine,Robinson ,23,JosephineRobinson @gmail.com,morning,night,secondary,Yes,Yes,Yes,Yes,Yes
54,Lucas,Smith,34,LucasSmith@gmail.com,morning,morning,university,Yes,No,No,Yes,Yes
55,Nick,Thomas ,34,NickThomas @gmail.com,morning,night,secondary,No,No,No,Yes,Yes
56,John,White,29,JohnWhite@gmail.com,night,night,secondary,No,Yes,No,Yes,No
57,Derek,White,27,DerekWhite@gmail.com,morning,night,university,No,Yes,Yes,Yes,No
58,Nick,Davies ,30,NickDavies @gmail.com,morning,night,secondary,Yes,No,No,Yes,Yes
59,Mario,Thompson ,23,MarioThompson @gmail.com,night,morning,university,No,Yes,No,Yes,No
60,Antonio,Wright,30,AntonioWright@gmail.com,morning,morning,secondary,No,No,Yes,No,No
61,Antonio,Johnson,23,AntonioJohnson@gmail.com,night,morning,university,No,No,No,No,Yes
62,Josephine,Johnson,25,JosephineJohnson@gmail.com,morning,night,university,No,Yes,No,Yes,Yes
63,Antonio,Walker ,33,AntonioWalker @gmail.com,night,morning,secondary,No,No,Yes,No,No
64,Albert,Hughes ,24,AlbertHughes @gmail.com,morning,night,secondary,No,No,No,No,Yes
65,Maria,Hughes ,24,MariaHughes @gmail.com,night,morning,university,Yes,No,Yes,Yes,Yes
66,Nick,Thompson ,22,NickThompson @gmail.com,morning,night,secondary,Yes,Yes,No,Yes,Yes
67,Antonio,White,34,AntonioWhite@gmail.com,night,morning,university,No,No,No,Yes,Yes
68,Marie,Williams,26,MarieWilliams@gmail.com,night,night,university,Yes,No,Yes,No,Yes
69,Albert,Williams,20,AlbertWilliams@gmail.com,morning,night,secondary,Yes,No,No,Yes,Yes
70,Nick,Thomas ,21,NickThomas @gmail.com,night,morning,university,Yes,Yes,No,Yes,Yes
71,Antonio,Lee ,24,AntonioLee @gmail.com,morning,morning,secondary,No,Yes,No,Yes,Yes
72,Michael,White,21,MichaelWhite@gmail.com,night,night,secondary,Yes,Yes,No,Yes,Yes
73,Derek,Johnson,31,DerekJohnson@gmail.com,morning,morning,university,No,Yes,No,Yes,No
74,Anthony,Thompson ,22,AnthonyThompson @gmail.com,morning,night,university,Yes,Yes,No,No,Yes
75,Jorge,Thompson ,22,JorgeThompson @gmail.com,morning,night,university,Yes,No,No,No,No
76,Nick,Evans ,30,NickEvans @gmail.com,night,night,secondary,No,Yes,No,No,No
77,Mario,Evans ,29,MarioEvans @gmail.com,morning,morning,secondary,Yes,No,No,Yes,No
78,Antonio,Johnson,18,AntonioJohnson@gmail.com,night,night,university,Yes,No,No,Yes,Yes
79,Mario,Thomas ,21,MarioThomas @gmail.com,night,morning,university,No,Yes,No,No,No
80,Nick,White,29,NickWhite@gmail.com,night,morning,secondary,Yes,No,Yes,Yes,Yes
81,Josephine,White,27,JosephineWhite@gmail.com,night,morning,university,Yes,No,No,Yes,No
82,Josephine,Lee ,20,JosephineLee @gmail.com,night,night,university,Yes,Yes,No,Yes,No
83,Jorge,Hughes ,34,JorgeHughes @gmail.com,night,morning,secondary,Yes,Yes,Yes,No,No
84,Derek,Davies ,27,DerekDavies @gmail.com,morning,morning,university,No,No,No,Yes,Yes
85,Albert,Walker ,18,AlbertWalker @gmail.com,morning,night,secondary,No,Yes,Yes,Yes,No
86,George,White,24,GeorgeWhite@gmail.com,night,morning,secondary,Yes,No,No,No,Yes
87,Marie,Jones,24,MarieJones@gmail.com,night,morning,university,No,Yes,Yes,No,No
88,Miguel,Taylor,22,MiguelTaylor@gmail.com,morning,night,secondary,No,No,No,No,No
89,Anthony,White,31,AnthonyWhite@gmail.com,morning,morning,secondary,Yes,No,No,No,No
90,Mario,Thomas ,31,MarioThomas @gmail.com,night,night,university,No,No,No,Yes,No
91,Antonio,Brown,25,AntonioBrown@gmail.com,night,night,secondary,No,No,Yes,No,Yes
92,Luna,Johnson,24,LunaJohnson@gmail.com,night,night,university,Yes,No,No,Yes,Yes
93,Mario,Smith,23,MarioSmith@gmail.com,morning,night,secondary,No,Yes,No,Yes,No
94,LouisaLoren,Williams,32,LouisaLorenWilliams@gmail.com,night,night,university,No,No,No,Yes,Yes
95,George,White,26,GeorgeWhite@gmail.com,morning,morning,university,Yes,Yes,Yes,No,No
96,Albert,Jones,26,AlbertJones@gmail.com,morning,night,secondary,No,Yes,No,No,Yes
97,Luna,Williams,32,LunaWilliams@gmail.com,night,night,university,No,Yes,No,No,No
98,Nick,Johnson,25,NickJohnson@gmail.com,morning,night,secondary,No,Yes,Yes,Yes,Yes
99,Josephine,Hughes ,30,JosephineHughes @gmail.com,night,night,university,Yes,No,Yes,Yes,Yes
100,Miguel,Davies ,21,MiguelDavies @gmail.com,night,night,secondary,No,Yes,No,No,Yes
101,Mario,Evans ,25,MarioEvans @gmail.com,morning,night,secondary,Yes,No,Yes,No,Yes
102,Marie,Thompson ,30,MarieThompson @gmail.com,night,night,university,Yes,Yes,Yes,Yes,No
103,Josephine,Lee ,34,JosephineLee @gmail.com,night,night,university,No,Yes,Yes,No,Yes
104,Anthony,Williams,29,AnthonyWilliams@gmail.com,morning,night,university,Yes,Yes,Yes,No,Yes
105,Marie,White,21,MarieWhite@gmail.com,night,morning,university,Yes,Yes,Yes,No,Yes
106,Nick,Williams,27,NickWilliams@gmail.com,morning,night,secondary,No,No,Yes,No,Yes
107,Nick,Walker ,24,NickWalker @gmail.com,morning,morning,secondary,Yes,No,Yes,No,Yes
108,LouisaLoren,Thompson ,20,LouisaLorenThompson @gmail.com,night,morning,secondary,Yes,No,No,No,Yes
109,Mario,White,29,MarioWhite@gmail.com,morning,night,secondary,No,Yes,No,Yes,Yes
110,Michael,Bush,23,MichaelBush@gmail.com,morning,night,secondary,Yes,Yes,No,Yes,Yes
111,John,Robinson ,20,JohnRobinson @gmail.com,morning,morning,university,Yes,Yes,No,Yes,Yes
112,Lucas,Walker ,29,LucasWalker @gmail.com,night,night,secondary,Yes,No,No,No,No
113,Marie,Williams,28,MarieWilliams@gmail.com,morning,night,secondary,No,No,Yes,No,Yes
114,Miguel,Smith,33,MiguelSmith@gmail.com,morning,morning,secondary,No,Yes,No,No,Yes
115,Lucas,Evans ,29,LucasEvans @gmail.com,morning,morning,university,No,No,Yes,Yes,Yes
116,Jorge,Johnson,31,JorgeJohnson@gmail.com,night,night,secondary,Yes,No,Yes,Yes,No
117,Miguel,Walker ,20,MiguelWalker @gmail.com,night,night,secondary,Yes,Yes,Yes,Yes,Yes
118,Michael,White,23,MichaelWhite@gmail.com,night,night,secondary,No,Yes,No,No,No
119,John,Davies ,27,JohnDavies @gmail.com,morning,morning,secondary,No,No,Yes,Yes,No
120,Miguel,Johnson,31,MiguelJohnson@gmail.com,night,night,secondary,No,No,Yes,No,No
121,Jorge,Williams,20,JorgeWilliams@gmail.com,morning,night,university,Yes,No,No,Yes,No
122,Michael,Thompson ,32,MichaelThompson @gmail.com,morning,night,secondary,No,Yes,Yes,No,Yes
123,Lucas,White,31,LucasWhite@gmail.com,night,night,secondary,No,No,No,No,Yes
124,Miguel,Jones,32,MiguelJones@gmail.com,night,night,secondary,Yes,Yes,No,No,Yes
125,Nick,Williams,22,NickWilliams@gmail.com,night,morning,secondary,No,No,No,Yes,No
126,John,Brown,19,JohnBrown@gmail.com,night,morning,university,Yes,No,Yes,No,No
127,Jorge,Hughes ,31,JorgeHughes @gmail.com,morning,morning,university,Yes,No,No,Yes,Yes
128,Josephine,White,21,JosephineWhite@gmail.com,night,morning,university,Yes,No,Yes,Yes,No
129,Miguel,Williams,20,MiguelWilliams@gmail.com,morning,morning,university,Yes,Yes,Yes,No,No
130,John,Walker ,23,JohnWalker @gmail.com,night,night,secondary,No,No,Yes,No,No
131,Albert,Smith,21,AlbertSmith@gmail.com,night,morning,university,Yes,Yes,No,Yes,No
132,Michael,Robinson ,20,MichaelRobinson @gmail.com,night,morning,university,Yes,Yes,No,No,No
133,LouisaLoren,Edwards ,28,LouisaLorenEdwards @gmail.com,morning,morning,secondary,Yes,No,No,No,Yes
134,Lucas,Smith,21,LucasSmith@gmail.com,morning,morning,secondary,No,No,Yes,No,No
135,Luna,Taylor,27,LunaTaylor@gmail.com,morning,night,university,No,No,No,No,Yes
136,Lucas,Smith,25,LucasSmith@gmail.com,morning,night,secondary,No,No,Yes,No,Yes
137,Marie,Jones,26,MarieJones@gmail.com,morning,morning,secondary,Yes,No,Yes,No,No
138,LouisaLoren,Walker ,19,LouisaLorenWalker @gmail.com,morning,night,secondary,Yes,Yes,No,Yes,Yes
139,Albert,Evans ,24,AlbertEvans @gmail.com,night,morning,university,No,Yes,No,Yes,No
140,Lucas,Bush,21,LucasBush@gmail.com,morning,morning,university,Yes,No,Yes,Yes,No
141,Nick,Robinson ,22,NickRobinson @gmail.com,morning,morning,secondary,No,No,No,No,Yes
142,Marie,Taylor,34,MarieTaylor@gmail.com,morning,night,secondary,Yes,No,Yes,Yes,No
143,Miguel,Hughes ,21,MiguelHughes @gmail.com,morning,morning,university,Yes,No,No,Yes,No
144,Michael,Roberts ,32,MichaelRoberts @gmail.com,morning,morning,secondary,No,No,Yes,No,No
145,Antonio,Jones,25,AntonioJones@gmail.com,night,night,secondary,No,Yes,No,Yes,No
146,Michael,Johnson,21,MichaelJohnson@gmail.com,night,morning,secondary,No,No,No,No,No
147,Miguel,Davies ,26,MiguelDavies @gmail.com,night,morning,university,No,No,Yes,No,Yes
148,Mario,Lee ,34,MarioLee @gmail.com,morning,night,secondary,No,No,No,No,No
149,Antonio,Williams,19,AntonioWilliams@gmail.com,night,night,secondary,Yes,No,Yes,No,Yes
150,Jorge,Davies ,27,JorgeDavies @gmail.com,morning,morning,secondary,No,No,Yes,Yes,Yes
151,John,Williams,32,JohnWilliams@gmail.com,night,morning,secondary,No,Yes,No,No,No
152,Nick,Thomas ,32,NickThomas @gmail.com,morning,night,secondary,Yes,No,Yes,Yes,Yes
153,Marie,Johnson,19,MarieJohnson@gmail.com,night,night,secondary,No,No,No,No,No
154,Anthony,Roberts ,29,AnthonyRoberts @gmail.com,night,night,secondary,No,Yes,Yes,No,No
155,Jorge,Robinson ,33,JorgeRobinson @gmail.com,night,morning,secondary,Yes,Yes,Yes,Yes,No
156,Michael,Roberts ,32,MichaelRoberts @gmail.com,night,night,university,No,Yes,Yes,No,Yes
157,Miguel,Wright,31,MiguelWright@gmail.com,night,night,university,No,Yes,Yes,No,Yes
158,Josephine,White,27,JosephineWhite@gmail.com,night,morning,secondary,No,Yes,Yes,No,No
159,Maria,Williams,33,MariaWilliams@gmail.com,morning,morning,secondary,No,No,Yes,Yes,Yes
160,John,White,22,JohnWhite@gmail.com,night,morning,university,No,Yes,Yes,Yes,Yes
161,Maria,Johnson,25,MariaJohnson@gmail.com,night,morning,university,Yes,No,Yes,Yes,Yes
162,Maria,Brown,31,MariaBrown@gmail.com,night,night,university,Yes,Yes,Yes,No,No
163,Marie,Johnson,30,MarieJohnson@gmail.com,morning,night,university,No,No,No,No,No
164,Lucas,Jones,23,LucasJones@gmail.com,night,night,university,No,No,No,No,No
165,Jorge,Smith,22,JorgeSmith@gmail.com,night,morning,university,No,Yes,No,No,Yes
166,Antonio,Roberts ,22,AntonioRoberts @gmail.com,morning,morning,secondary,No,No,No,Yes,Yes
167,Jorge,Hughes ,27,JorgeHughes @gmail.com,night,morning,secondary,Yes,Yes,Yes,No,Yes
168,Anthony,Williams,31,AnthonyWilliams@gmail.com,night,night,university,Yes,No,No,Yes,Yes
169,Mario,Williams,29,MarioWilliams@gmail.com,night,morning,university,Yes,Yes,No,No,No
170,Josephine,Evans ,29,JosephineEvans @gmail.com,night,morning,university,Yes,Yes,Yes,No,No
171,Antonio,Brown,30,AntonioBrown@gmail.com,morning,morning,secondary,Yes,No,Yes,Yes,Yes
172,LouisaLoren,Smith,25,LouisaLorenSmith@gmail.com,night,morning,secondary,No,No,Yes,Yes,Yes
173,George,Jones,27,GeorgeJones@gmail.com,morning,night,secondary,Yes,Yes,Yes,No,No
174,Nick,Taylor,31,NickTaylor@gmail.com,night,night,university,No,Yes,Yes,Yes,Yes
175,Miguel,Edwards ,29,MiguelEdwards @gmail.com,night,morning,secondary,Yes,Yes,Yes,Yes,No
176,LouisaLoren,Thompson ,27,LouisaLorenThompson @gmail.com,night,morning,secondary,Yes,No,No,No,Yes
177,Maria,White,31,MariaWhite@gmail.com,night,morning,secondary,Yes,No,Yes,Yes,Yes
178,George,Thomas ,19,GeorgeThomas @gmail.com,morning,night,university,Yes,No,Yes,Yes,Yes
179,Nick,Evans ,31,NickEvans @gmail.com,morning,morning,university,No,No,No,No,No
180,Albert,Edwards ,33,AlbertEdwards @gmail.com,morning,morning,university,No,No,Yes,Yes,No
181,George,Robinson ,33,GeorgeRobinson @gmail.com,night,morning,university,No,Yes,Yes,Yes,Yes
182,Derek,Roberts ,20,DerekRoberts @gmail.com,night,morning,secondary,Yes,Yes,No,Yes,No
183,Antonio,Hughes ,28,AntonioHughes @gmail.com,night,morning,university,No,Yes,No,No,No
184,Albert,Williams,24,AlbertWilliams@gmail.com,morning,morning,secondary,No,Yes,No,No,Yes
185,George,Jones,33,GeorgeJones@gmail.com,night,night,secondary,No,Yes,No,No,No
186,Luna,White,22,LunaWhite@gmail.com,morning,morning,secondary,Yes,No,No,Yes,Yes
187,Lucas,Edwards ,22,LucasEdwards @gmail.com,night,morning,secondary,Yes,Yes,No,Yes,Yes
188,LouisaLoren,Hughes ,23,LouisaLorenHughes @gmail.com,night,night,university,Yes,No,No,No,No
189,Jorge,Thomas ,19,JorgeThomas @gmail.com,morning,night,secondary,No,Yes,No,Yes,Yes
190,Mario,Lee ,26,MarioLee @gmail.com,night,morning,university,No,Yes,No,No,Yes
191,Albert,Wright,26,AlbertWright@gmail.com,night,morning,secondary,Yes,Yes,Yes,No,Yes
192,Maria,Johnson,19,MariaJohnson@gmail.com,night,morning,secondary,No,Yes,No,Yes,No
193,Luna,Thompson ,34,LunaThompson @gmail.com,morning,night,university,No,Yes,No,No,Yes
194,Luna,Williams,22,LunaWilliams@gmail.com,morning,night,secondary,No,No,Yes,No,No
195,Michael,Walker ,30,MichaelWalker @gmail.com,night,night,university,No,No,No,Yes,Yes
196,Luna,Evans ,18,LunaEvans @gmail.com,night,morning,university,No,Yes,No,Yes,Yes
197,Mario,Robinson ,25,MarioRobinson @gmail.com,night,morning,university,No,Yes,Yes,No,Yes
198,Luna,Thomas ,20,LunaThomas @gmail.com,morning,night,university,No,No,Yes,Yes,Yes
199,Jorge,Hughes ,18,JorgeHughes @gmail.com,night,morning,university,No,No,Yes,No,No
200,LouisaLoren,Roberts ,26,LouisaLorenRoberts @gmail.com,morning,night,university,Yes,Yes,Yes,Yes,Yes
201,Mario,Hughes ,27,MarioHughes @gmail.com,night,morning,university,No,Yes,Yes,No,No
202,George,Smith,23,GeorgeSmith@gmail.com,morning,morning,university,No,No,No,No,Yes
203,Miguel,Williams,27,MiguelWilliams@gmail.com,night,morning,university,No,Yes,Yes,Yes,Yes
204,Mario,Bush,27,MarioBush@gmail.com,morning,night,secondary,Yes,Yes,No,No,No
205,Michael,Brown,29,MichaelBrown@gmail.com,morning,night,university,No,No,No,Yes,No
206,Nick,Williams,20,NickWilliams@gmail.com,morning,night,secondary,No,Yes,Yes,Yes,Yes
207,Maria,Roberts ,20,MariaRoberts @gmail.com,night,morning,university,Yes,No,No,No,No
208,Jorge,Lee ,21,JorgeLee @gmail.com,night,morning,secondary,Yes,Yes,No,No,Yes
209,Nick,Brown,25,NickBrown@gmail.com,night,night,secondary,No,No,Yes,No,Yes
210,Albert,Thomas ,32,AlbertThomas @gmail.com,morning,night,university,Yes,No,No,Yes,No
211,Albert,Lee ,31,AlbertLee @gmail.com,morning,night,university,No,Yes,No,No,No
212,George,Hughes ,29,GeorgeHughes @gmail.com,morning,morning,secondary,Yes,Yes,Yes,Yes,Yes
213,Luna,Davies ,22,LunaDavies @gmail.com,morning,morning,secondary,Yes,No,Yes,Yes,Yes
214,Marie,Thomas ,21,MarieThomas @gmail.com,night,morning,university,Yes,No,Yes,Yes,Yes
215,George,Taylor,20,GeorgeTaylor@gmail.com,night,morning,secondary,No,No,Yes,Yes,Yes
216,LouisaLoren,Williams,22,LouisaLorenWilliams@gmail.com,night,night,university,Yes,No,No,No,No
217,Miguel,Evans ,20,MiguelEvans @gmail.com,morning,night,university,Yes,Yes,Yes,Yes,No
218,George,Smith,23,GeorgeSmith@gmail.com,night,morning,university,Yes,No,Yes,No,No
219,Josephine,Brown,22,JosephineBrown@gmail.com,morning,night,secondary,No,Yes,Yes,No,No
220,Luna,Smith,31,LunaSmith@gmail.com,morning,night,university,Yes,Yes,Yes,Yes,No
221,Jorge,Williams,21,JorgeWilliams@gmail.com,morning,night,secondary,No,No,Yes,No,Yes
222,Nick,Johnson,34,NickJohnson@gmail.com,morning,morning,university,No,No,Yes,No,Yes
223,LouisaLoren,Roberts ,19,LouisaLorenRoberts @gmail.com,night,morning,secondary,No,Yes,No,No,No
224,John,Jones,23,JohnJones@gmail.com,night,night,secondary,No,Yes,No,No,Yes
225,Nick,Smith,20,NickSmith@gmail.com,night,night,secondary,No,Yes,Yes,Yes,Yes
226,Lucas,Williams,27,LucasWilliams@gmail.com,morning,night,university,No,Yes,Yes,No,No
227,Michael,Thomas ,29,MichaelThomas @gmail.com,night,morning,university,No,No,Yes,Yes,No
228,Maria,Edwards ,22,MariaEdwards @gmail.com,morning,night,university,No,No,No,Yes,No
229,Mario,Wright,34,MarioWright@gmail.com,morning,night,university,No,No,No,Yes,No
230,Lucas,White,28,LucasWhite@gmail.com,night,night,secondary,No,No,Yes,Yes,Yes
231,Antonio,Wright,24,AntonioWright@gmail.com,morning,night,university,Yes,No,Yes,No,No
232,Jorge,Bush,29,JorgeBush@gmail.com,morning,morning,secondary,Yes,No,No,No,Yes
233,Derek,Hughes ,25,DerekHughes @gmail.com,morning,night,university,Yes,No,No,No,No
234,Antonio,Hughes ,21,AntonioHughes @gmail.com,morning,morning,university,Yes,Yes,No,No,No
235,Michael,Wright,26,MichaelWright@gmail.com,night,night,university,No,No,Yes,Yes,Yes
236,Antonio,Wright,34,AntonioWright@gmail.com,night,morning,secondary,Yes,No,Yes,Yes,Yes
237,Luna,Wright,18,LunaWright@gmail.com,night,morning,secondary,Yes,No,Yes,No,No
238,Mario,Taylor,30,MarioTaylor@gmail.com,morning,morning,university,No,No,No,No,No
239,Antonio,Edwards ,33,AntonioEdwards @gmail.com,night,morning,secondary,Yes,No,Yes,Yes,Yes
240,LouisaLoren,Jones,19,LouisaLorenJones@gmail.com,morning,night,university,No,Yes,No,Yes,No
241,Antonio,Smith,20,AntonioSmith@gmail.com,night,morning,university,No,Yes,No,No,Yes
242,Albert,Wright,24,AlbertWright@gmail.com,night,night,university,Yes,No,Yes,No,Yes
243,Maria,Lee ,25,MariaLee @gmail.com,night,morning,secondary,No,No,Yes,Yes,No
244,Anthony,Roberts ,26,AnthonyRoberts @gmail.com,night,morning,secondary,No,No,No,Yes,No
245,Mario,Thompson ,27,MarioThompson @gmail.com,night,night,secondary,Yes,Yes,No,No,No
246,Lucas,Roberts ,31,LucasRoberts @gmail.com,morning,night,secondary,Yes,Yes,Yes,No,No
247,Jorge,White,30,JorgeWhite@gmail.com,morning,morning,university,No,No,Yes,No,Yes
248,Lucas,Robinson ,25,LucasRobinson @gmail.com,night,night,university,No,No,No,No,No
249,George,Brown,21,GeorgeBrown@gmail.com,morning,morning,university,Yes,Yes,No,No,Yes
250,Josephine,Robinson ,29,JosephineRobinson @gmail.com,night,morning,university,Yes,Yes,Yes,Yes,No
251,John,Roberts ,23,JohnRoberts @gmail.com,morning,night,secondary,No,No,Yes,Yes,No
252,Derek,Wright,30,DerekWright@gmail.com,morning,night,university,No,No,No,No,Yes
253,Lucas,Williams,24,LucasWilliams@gmail.com,morning,night,university,Yes,No,No,No,No
254,Marie,Edwards ,26,MarieEdwards @gmail.com,night,night,university,Yes,No,Yes,No,No
255,Michael,Hughes ,25,MichaelHughes @gmail.com,night,morning,secondary,Yes,No,Yes,Yes,No
256,Anthony,Bush,18,AnthonyBush@gmail.com,morning,night,university,Yes,Yes,Yes,Yes,Yes
257,Anthony,Hughes ,27,AnthonyHughes @gmail.com,night,night,university,Yes,No,Yes,No,Yes
258,John,Williams,32,JohnWilliams@gmail.com,morning,night,secondary,No,Yes,Yes,No,No
259,Miguel,Johnson,31,MiguelJohnson@gmail.com,night,morning,secondary,Yes,No,No,No,No
260,Maria,Evans ,23,MariaEvans @gmail.com,night,night,secondary,Yes,No,No,Yes,Yes
261,Derek,Thomas ,29,DerekThomas @gmail.com,night,night,university,Yes,No,No,No,No
262,John,Smith,22,JohnSmith@gmail.com,night,morning,university,No,Yes,Yes,Yes,No
263,Luna,White,23,LunaWhite@gmail.com,morning,morning,secondary,Yes,Yes,Yes,No,No
264,Antonio,Walker ,32,AntonioWalker @gmail.com,night,night,secondary,Yes,No,Yes,No,No
265,Albert,White,19,AlbertWhite@gmail.com,morning,morning,secondary,Yes,Yes,No,Yes,No
266,George,Smith,23,GeorgeSmith@gmail.com,morning,night,secondary,Yes,No,No,Yes,No
267,Michael,Taylor,24,MichaelTaylor@gmail.com,night,morning,secondary,Yes,Yes,Yes,Yes,Yes
268,Lucas,Evans ,30,LucasEvans @gmail.com,night,morning,university,Yes,Yes,No,Yes,No
269,Antonio,Roberts ,24,AntonioRoberts @gmail.com,morning,night,secondary,Yes,No,No,Yes,Yes
270,Nick,Edwards ,24,NickEdwards @gmail.com,night,night,university,Yes,Yes,Yes,Yes,Yes
271,Michael,Lee ,32,MichaelLee @gmail.com,night,morning,university,No,No,No,No,Yes
272,Lucas,Williams,32,LucasWilliams@gmail.com,morning,night,secondary,No,No,No,Yes,No
273,Anthony,Wright,32,AnthonyWright@gmail.com,morning,night,university,No,No,Yes,Yes,Yes
274,Nick,Edwards ,29,NickEdwards @gmail.com,morning,morning,secondary,No,No,Yes,No,Yes
275,Michael,Davies ,24,MichaelDavies @gmail.com,night,morning,university,Yes,Yes,No,No,No
276,Derek,Evans ,28,DerekEvans @gmail.com,morning,night,university,No,Yes,Yes,Yes,No
277,Derek,Wright,33,DerekWright@gmail.com,morning,morning,secondary,Yes,Yes,No,Yes,Yes
278,Marie,Bush,34,MarieBush@gmail.com,night,night,university,Yes,No,No,Yes,No
279,John,Roberts ,19,JohnRoberts @gmail.com,night,night,secondary,Yes,Yes,Yes,Yes,No
